2023-05-17 23:14:44.484 INFO  c.e.M.MeasurementConverterApiApplication - Starting MeasurementConverterApiApplication using Java 19.0.2 with PID 5500 (C:\Users\ICT-Lap\IdeaProjects\MeasurementConverterAPI\target\classes started by ICT-Lap in C:\Users\ICT-Lap\IdeaProjects\MeasurementConverterAPI)
2023-05-17 23:14:44.488 INFO  c.e.M.MeasurementConverterApiApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-17 23:14:46.612 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-17 23:14:46.632 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-17 23:14:46.633 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-17 23:14:46.635 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-05-17 23:14:46.772 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-17 23:14:46.773 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2170 ms
2023-05-17 23:14:47.356 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-17 23:14:47.393 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-17 23:14:47.420 INFO  c.e.M.MeasurementConverterApiApplication - Started MeasurementConverterApiApplication in 3.605 seconds (process running for 4.653)
2023-05-17 23:15:04.829 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-17 23:15:04.830 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-17 23:15:04.831 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-17 23:39:48.026 INFO  c.e.M.MeasurementConverterApiApplication - Starting MeasurementConverterApiApplication using Java 19.0.2 with PID 16136 (C:\Users\ICT-Lap\IdeaProjects\MeasurementConverterAPI\target\classes started by ICT-Lap in C:\Users\ICT-Lap\IdeaProjects\MeasurementConverterAPI)
2023-05-17 23:39:48.032 INFO  c.e.M.MeasurementConverterApiApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-17 23:39:50.607 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-17 23:39:50.626 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-05-17 23:39:50.627 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-17 23:39:50.628 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.8]
2023-05-17 23:39:50.850 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-17 23:39:50.851 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2710 ms
2023-05-17 23:39:51.471 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-17 23:39:51.515 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-17 23:39:51.531 INFO  c.e.M.MeasurementConverterApiApplication - Started MeasurementConverterApiApplication in 4.34 seconds (process running for 6.076)
2023-05-17 23:47:08.215 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.MeasurementConverterAPI.MeasurementConverterApiApplicationTests]: MeasurementConverterApiApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-17 23:47:08.472 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.MeasurementConverterAPI.MeasurementConverterApiApplication for test class com.example.MeasurementConverterAPI.MeasurementConverterApiApplicationTests
2023-05-17 23:47:09.314 INFO  c.e.M.MeasurementConverterApiApplicationTests - Starting MeasurementConverterApiApplicationTests using Java 19.0.2 with PID 23412 (started by ICT-Lap in C:\Users\ICT-Lap\IdeaProjects\MeasurementConverterAPI)
2023-05-17 23:47:09.316 INFO  c.e.M.MeasurementConverterApiApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-05-17 23:47:12.159 INFO  c.e.M.MeasurementConverterApiApplicationTests - Started MeasurementConverterApiApplicationTests in 3.254 seconds (process running for 6.241)
2023-05-17 23:47:45.781 ERROR c.e.M.S.MeasurementConversionService - Error occurred during calculation: Index 3 out of bounds for length 3
2023-05-17 23:57:21.178 ERROR c.e.M.S.MeasurementConversionService - Error occurred during calculation: Index: 1 Size: 1
